"stationID","deployID","name","dtStart","dtEnd","nAnt","frequency","country","continent"
1625,2847,"NHRB",2013-04-09,2013-06-23,2,"166.38","CAN","North America"
1625,2848,"NHRB",2013-06-23,2013-08-02,2,"166.38","CAN","North America"
1625,2849,"NHRB",2013-08-02,2014-05-18,2,"166.38","CAN","North America"
759,2852,"DRUM",2013-05-08,2013-08-02,2,"166.38",NA,NA
303,2853,"BERL",2013-08-10,2014-05-28,2,"166.38",NA,NA
1159,2854,"HWY",2014-07-22,2014-08-09,1,"166.38","CAN","North America"
1581,2856,"N3 Chapman",2015-04-09,2015-12-02,2,"166.38","USA","North America"
2183,2857,"STAGE",2013-08-01,2013-10-30,3,"166.38",NA,NA
1793,2858,"PKR_lot1",2013-08-01,2013-10-30,3,"166.38","USA","North America"
1795,2859,"PKR_Nelsons",2013-08-02,2013-10-30,3,"166.38","USA","North America"
1792,2860,"PKR_HQ",2013-08-02,2013-10-30,2,"166.38","USA","North America"
1339,2861,"LONGI",2013-08-29,2013-12-31,2,"166.38",NA,NA
1601,2863,"NASH",2013-07-01,2013-07-02,3,"166.38",NA,NA
1601,2864,"NASH",2013-07-02,2013-12-31,3,"166.38",NA,NA
1207,2865,"JORDL",2013-08-21,2013-09-01,2,"166.38",NA,NA
1424,2866,"MART",2013-04-10,2013-09-30,2,"166.38",NA,NA
1424,2867,"MART",2013-09-30,2013-10-20,2,"166.38",NA,NA
508,2869,"CANS",2013-08-05,2013-09-12,2,"166.38",NA,NA
514,2870,"CANSOSPR",2013-04-09,2013-04-23,2,"166.38",NA,NA
413,2871,"BPLH1",2013-09-28,2013-09-29,2,"166.38",NA,NA
1381,2874,"Mackay Island NWR, NC",2016-03-04,2016-05-04,3,"166.38",NA,NA
661,2875,"CRANE",2013-04-30,2013-05-11,3,"166.38","USA","North America"
470,2878,"Bulls I., Cape Romain NWR, SC",2016-03-24,2018-04-07,6,"166.38","USA","North America"
